,Country Name,Country Code,Year,"Agriculture, value added (% of GDP)",Consumer price index (2010 = 100),Employment in agriculture (% of total employment) (modeled ILO estimate),GDP growth (annual %),ICT goods imports (% total goods imports),"Industry, value added (% of GDP)","Inflation, consumer prices (annual %)","Literacy rate, adult total (% of people ages 15 and above)","Manufacturing, value added (annual % growth)","Population, total",Rural population,"Self-employed, total (% of total employment) (modeled ILO estimate)",Tax revenue (% of GDP),"Total employment, total (ages 15+)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
33,Chile,CHL,2012,3.304780976,106.4472654,9.982000351,5.318628,7.174044688,32.53911802,3.006520356,88.9255150236842,3.330944501,17309746.0,2217552.0,26.35099983,18.99486687,7821153.0,6.659999847,15092194.0,73.64900208
34,Chile,CHL,2014,3.928128427,113.2683695,9.402000427,1.766739784,7.071951762,30.84802501,4.395,88.9255150236842,-0.709774342,17613798.0,2236424.0,27.14699936,16.96739149,8065175.0,6.659999847,15377374.0,72.85299683
35,Chile,CHL,2016,4.025773343,122.6698774,9.479999542,1.265867603,9.199359059,28.9295377,3.786661771,88.9255150236842,-2.359767475,17909754.0,2252689.0,27.82600021,17.41744114,8245663.0,6.739999771,15657065.0,72.1740036
36,Cuba,CUB,2000,6.601255014,95.001703717767,27.11899948,5.914760019,4.444167958,25.53508215,4.500098998838096,88.9255150236842,5.146367591,11150736.0,2751667.0,24.82500076,17.515715373641306,4279235.0,5.449999809,8399069.0,75.17500305
37,Cuba,CUB,2002,5.945728703,95.001703717767,21.65600014,1.424821261,5.433802828,23.70134413,4.500098998838096,99.79907227,0.15060871,11217998.0,2716438.0,26.22500038,17.515715373641306,4447697.0,3.309999943,8501560.0,73.77500153
38,Cuba,CUB,2004,5.47443918,95.001703717767,21.16500092,5.77053807,4.465708263,22.0396304,4.500098998838096,88.9255150236842,2.480342645,11266941.0,2699446.0,27.59399986,17.515715373641306,4611772.0,1.850000024,8567495.0,72.40599823
39,Cuba,CUB,2006,3.405014523,95.001703717767,20.02099991,12.06586298,2.053227396,22.20473695,4.500098998838096,88.9255150236842,5.30512994,11296233.0,2685453.0,26.17499924,17.515715373641306,4810918.0,1.899999976,8610780.0,73.82499695
40,Cuba,CUB,2008,3.817038695,95.001703717767,18.5739994,4.116828042,7.939214514544554,22.38649614,4.500098998838096,88.9255150236842,4.869208412,11309754.0,2667632.0,26.06200027,17.515715373641306,4997761.0,1.580000043,8642122.0,73.93800354
41,Cuba,CUB,2010,3.614289268,95.001703717767,18.60099983,2.390352297,7.939214514544554,22.89360776,4.500098998838096,88.9255150236842,1.598062954,11333051.0,2652274.0,20.95499992,17.515715373641306,5063656.0,2.5,8680777.0,79.04499817
42,Cuba,CUB,2012,3.850097756,95.001703717767,19.26099968,3.014900289,7.939214514544554,23.36719487,4.500098998838096,99.75253296,2.033639144,11382146.0,2642820.0,29.95999908,17.515715373641306,5047285.0,3.460000038,8739326.0,70.04000092
43,Cuba,CUB,2014,3.93770589,95.001703717767,18.89999962,1.047576632,7.939214514544554,22.15207529,4.500098998838096,88.9255150236842,-3.883495146,11439767.0,2647048.0,34.52500153,17.515715373641306,5101727.0,2.700000048,8792719.0,65.47499847
44,Cuba,CUB,2016,13.093818940636364,95.001703717767,18.25099945,4.239316643263157,7.939214514544554,22.90349948964546,4.500098998838096,88.9255150236842,3.411329332731959,11475982.0,2647509.0,34.59700012,17.515715373641306,5108302.0,2.489000082,8828473.0,65.40299988
45,Georgia,GEO,2000,20.60208468,54.90346725,52.16899872,1.838341787,6.113559724,20.9980184,4.063962014,88.9255150236842,3.411329332731959,4418300.0,2092595.0,62.23799896,7.651756514,1936607.0,10.81999969,2325705.0,37.76200104
46,Georgia,GEO,2002,19.2410233,60.66475991,53.77299881,5.473838085,5.586985236,22.73693654,5.5878373,99.65235138,3.411329332731959,4357000.0,2072146.0,64.48699951,7.616657989,1906867.0,12.59000015,2284854.0,35.51300049
47,Georgia,GEO,2004,16.39492064,64.63311236,54.00099945,5.857329773,3.993785046,24.17630483,5.656326362,88.9255150236842,3.411329332731959,4245000.0,1985896.0,66.27600098,9.927429099,1885936.0,12.61999989,2259104.0,33.72399902
48,Georgia,GEO,2006,11.19910315,76.3728585,55.30799866,9.383276297,6.043766268,21.71413568,9.161060064,88.9255150236842,3.411329332731959,4136000.0,1902891.0,68.95800018,15.44823911,1834288.0,13.57999992,2233109.0,31.04199982
49,Georgia,GEO,2008,8.131430721,91.77635833,50.32099915,2.314047429,6.964979222,18.94396215,9.999415709,88.9255150236842,-2.363396707,4030000.0,1822970.0,64.24500275,23.80935867,1747018.0,16.46999931,2207030.0,35.75500107
50,Georgia,GEO,2010,7.278747003,100.0,48.18600082,6.24941822,5.188149206,19.31634359,7.110178975,88.9255150236842,12.12335012,3926000.0,1745696.0,61.9620018,22.13912823,1746999.0,16.29999924,2180304.0,38.0379982
51,Georgia,GEO,2012,7.388350801,107.5186583,45.72600174,6.350482702,4.804323497,21.07266694,-0.943658853,88.9255150236842,9.61659097,3825000.0,1671410.0,61.38299942,24.11828496,1786897.0,15.03999996,2153590.0,38.61700058
52,Georgia,GEO,2014,7.986501753,110.25075,43.62200165,4.62333166,5.496310679,20.63855323,3.068812104,99.58618927,2.870498515,3727000.0,1600113.0,60.17699814,23.48846295,1787103.0,12.35000038,2126887.0,39.82300186
53,Georgia,GEO,2016,7.727417293,117.1127333,41.24499893,2.848973396,4.748048031,21.45031269,2.134927139,88.9255150236842,4.201247332,3719300.0,1568168.0,57.56700134,23.47094706,1795479.0,11.76000023,2151132.0,42.43299866
54,Greece,GRC,2000,5.435248174,72.20129341,17.39599991,3.919770772,7.434020985,18.74760216,3.166082521,88.9255150236842,2.691595816,10805808.0,2948257.0,42.00999832,22.47052181,4326873.0,11.25,7857551.0,57.99000168
55,Greece,GRC,2002,4.987113412,77.34619823,15.22599983,3.922871842,5.814352786,19.43872264,3.629362936,88.9255150236842,5.316107809,10902022.0,2910513.0,38.98899841,21.26687719,4384651.0,9.970000267,7991509.0,61.01100159
56,Greece,GRC,2004,4.275407422,82.3983352,12.37100029,5.060992565,6.195632184,20.34401943,2.89884797,88.9255150236842,-2.445189537,10955141.0,2840339.0,36.29999924,19.1347301,4491725.0,10.31000042,8114802.0,63.70000076
57,Greece,GRC,2006,3.201238455,88.0461775,11.72399998,5.65243372,5.673085371,19.98724266,3.19594597,88.9255150236842,-0.21582624,11020362.0,2774156.0,36.09000015,19.97920072,4593738.0,9.010000229,8246206.0,63.90999985
58,Greece,GRC,2008,2.807249826,94.35734728,11.14400005,-0.335172557,5.027014823,15.65977807,4.15279636,88.9255150236842,-6.130351738,11077841.0,2706538.0,35.05799866,20.21361262,4673477.0,7.760000229,8371303.0,64.94200134
59,Greece,GRC,2010,2.88403082,100.0,12.39599991,-5.479037108,4.825814612,13.8278424,4.712981576,88.9255150236842,-13.35871377,11121341.0,2636648.0,35.65999985,20.21400144,4493803.0,12.71000004,8484693.0,64.33999634
60,Greece,GRC,2012,3.237727235,104.8813909,13.00399971,-7.300493935,5.081312123,14.32591358,1.501519795,88.9255150236842,-7.449987321,11045011.0,2539911.0,36.72299957,23.60359707,3808204.0,24.44000053,8505100.0,63.27700043
61,Greece,GRC,2014,3.397811946,102.5516734,13.5710001,0.739777123,4.16713801,14.14760606,-1.312242411,88.9255150236842,-2.099027175,10892413.0,2428790.0,36.05799866,24.3814275,3621580.0,26.48999977,8463623.0,63.94200134
62,Greece,GRC,2016,3.457229018,99.93931825,12.37300014,-0.244314741,4.667709774,14.2339904,-0.825657581,88.9255150236842,8.534927054,10775971.0,2329011.0,34.16500092,26.69701293,3751523.0,23.54000092,8446960.0,65.83499908
63,Maldives,MDV,2000,8.760953095,95.001703717767,16.50600052,3.845810392,5.61745535,15.03656241,-1.174756812,88.9255150236842,4.515161028,280384.0,202701.0,68.55000305,13.79611004,88434.0,1.970000029,77683.0,31.45000076
64,Maldives,MDV,2002,6.224264936,95.001703717767,15.27600002,7.268386313,5.922675121,12.61926929,4.178672399,88.9255150236842,3.786216071,294341.0,205915.0,38.78099823,9.507925449,104549.0,2.584000111,88426.0,61.21900177
65,Maldives,MDV,2004,5.584199425,95.001703717767,14.8760004,6.033754049,6.249852995,11.05881252,-1.685412125,88.9255150236842,0.563789765,310423.0,209567.0,36.08599854,10.48943585,123965.0,3.210999966,100856.0,63.91400146
66,Maldives,MDV,2006,6.595158404,75.31995194,11.96800041,26.1114935,7.140865238,9.517634289,2.738421316,98.39790344,14.39374667,327371.0,213466.0,37.0890007,11.75644071,145155.0,3.476000071,113905.0,62.9109993
